timestamp,bearing_deg,distance_m,radial_velocity_ms
1.280046,-0.276529,0.873343,0.064769
1.380052,-0.468307,1.078606,-0.023414
1.480087,1.534869,1.089843,-0.046947
1.580088,-0.926835,0.882512,-0.046573
1.680096,-3.826560,0.952392,-0.172492
1.779856,-2.025662,1.035542,0.031425
1.880240,-2.824607,1.006395,0.146565
1.980106,0.135056,1.142845,-0.142475
2.080081,0.221845,1.079123,-0.115099
2.179974,-1.201277,1.271140,-0.029169
2.280247,3.704556,1.089659,-0.001350
2.380131,1.645090,0.998458,-0.122084
2.480089,-3.919340,1.251773,-0.132819
2.580142,1.476933,1.253372,0.017137
2.680142,-0.602207,1.190870,-0.147852
2.780166,-0.921278,1.070031,0.105712
2.880123,-3.526080,1.282724,0.032408
2.980258,-1.353844,1.136984,0.061168
3.079971,1.862560,1.528200,-0.083922
3.180222,0.662527,1.260158,0.097555
3.280289,-0.371318,1.226165,-0.110633
3.379945,1.625052,0.960759,0.135624
3.481189,2.007066,1.183598,0.036164
3.580019,0.722791,1.062976,0.153804
3.680061,3.129287,1.184835,-0.261975
3.780068,0.174094,1.250381,-0.029901
3.880052,-3.975138,1.104352,-0.021967
3.980064,2.955788,1.263423,-0.051827
4.080009,-1.003514,1.030301,0.091540
4.180030,-1.059520,1.151750,0.051327
4.280018,1.937290,1.211416,-0.070205
4.379995,-0.784216,1.126468,-0.146351
4.479995,0.522111,1.259224,0.000511
4.580013,-2.830741,1.153083,-0.042065
4.680046,-1.604555,1.131457,-0.016129
4.780062,3.772372,1.280810,0.017458
4.880027,-0.148892,1.251510,-0.191877
4.980072,0.120460,1.194697,0.246324
5.080020,0.603095,1.161528,-0.003471
5.180020,2.285646,0.518264,0.075193
5.280021,-1.818775,0.910206,0.140279
5.380179,1.173714,0.471630,0.219046
5.480081,-1.132595,0.553893,0.009965
5.580081,-3.101327,0.651305,0.006856
5.680043,0.947185,0.539539,-0.091942
5.780005,-1.566507,0.781987,-0.032206
5.880009,-2.461729,0.634703,0.022746
5.980039,-3.214966,0.733429,0.018463
6.080053,1.563646,0.523977,-0.123695
6.180050,1.043883,0.207909,0.029698
6.280098,0.692896,0.522099,-0.068002
6.380098,0.586145,0.856451,-0.071435
6.480070,0.947666,1.183155,-0.119130
6.580112,-1.949363,0.941311,0.078708
6.680092,-1.641365,1.017719,0.096338
6.779964,1.644120,0.856556,0.189679
6.880041,-1.507472,0.724922,-0.088951
6.980067,-0.154203,0.578838,0.034115
7.080022,1.654366,0.797338,0.001300
7.180296,-0.529314,1.064707,0.272017
7.280116,-1.714315,0.911133,-0.107089
7.380024,-0.446926,1.292494,0.071400
7.480006,-0.145658,0.886648,-0.084679
7.580044,-0.893030,0.489031,0.085640
7.680106,-2.491478,0.834819,0.017318
7.780054,-1.767715,0.869063,0.015373
7.880110,-2.285941,0.803642,0.035779
7.980061,2.166102,1.260157,0.105380
8.080050,-1.875650,0.916466,0.051504
8.180086,1.030095,1.294757,0.385273
8.280119,2.271131,1.262178,0.095400
8.380011,-0.630538,0.922278,0.075897
8.480042,-0.473637,0.637435,-0.048536
8.580072,4.629317,1.164375,-0.186727
8.680040,-3.225432,1.285252,-0.047193
8.779931,0.128560,1.365790,-0.107774
8.879902,1.359195,0.584939,-0.073037
8.980210,0.091144,0.771292,-0.065160
9.080051,1.267838,1.046789,-0.202514
9.180113,-1.323573,0.655291,0.085243
9.280085,-0.229473,0.569496,0.050499
9.380129,-2.400593,0.965151,-0.033450
9.480145,-1.306658,0.697011,0.176545
9.580348,-2.521768,0.872996,0.091786
9.680069,2.064931,1.216431,-0.151937
9.780052,2.533822,0.695153,-0.070767
9.880012,1.549268,0.692764,-0.092693
9.979998,-6.482535,0.592095,-0.102439
10.079916,-2.495566,0.553486,0.163241
10.179920,-0.880089,0.505972,0.013074
10.279974,-2.871724,1.080255,0.116316
10.379957,-1.963017,0.794047,0.046210
10.480258,-1.200434,0.831812,0.006980
