timestamp,ttc_value_s,risk_level
0.225363,inf,SAFE
0.325865,inf,SAFE
0.425451,inf,SAFE
0.525568,inf,SAFE
0.625386,inf,SAFE
0.725410,inf,SAFE
0.825389,inf,SAFE
0.926003,inf,SAFE
1.025461,inf,SAFE
1.125404,inf,SAFE
1.225587,inf,SAFE
1.325492,inf,SAFE
1.425657,inf,SAFE
1.525680,inf,SAFE
1.625607,inf,SAFE
1.725460,inf,SAFE
1.825523,inf,SAFE
1.925426,inf,SAFE
2.025278,inf,SAFE
2.125325,inf,SAFE
2.225406,inf,SAFE
2.325372,inf,SAFE
2.425475,inf,SAFE
2.525402,inf,SAFE
2.625382,inf,SAFE
2.725320,inf,SAFE
2.825485,inf,SAFE
2.926134,inf,SAFE
3.025926,inf,SAFE
3.125468,inf,SAFE
3.225375,inf,SAFE
3.325331,inf,SAFE
3.425700,inf,SAFE
3.525409,inf,SAFE
3.625542,inf,SAFE
3.725413,inf,SAFE
3.825436,inf,SAFE
3.925586,inf,SAFE
4.025460,inf,SAFE
4.127013,inf,SAFE
4.225496,inf,SAFE
4.325362,inf,SAFE
4.425385,inf,SAFE
4.525608,inf,SAFE
4.625560,inf,SAFE
4.725518,inf,SAFE
4.825378,inf,SAFE
4.925415,inf,SAFE
5.025605,inf,SAFE
5.125479,inf,SAFE
5.225399,inf,SAFE
5.325525,inf,SAFE
5.425410,inf,SAFE
5.525682,inf,SAFE
5.625482,inf,SAFE
5.725381,inf,SAFE
5.825421,inf,SAFE
5.925438,inf,SAFE
6.025562,inf,SAFE
6.125332,inf,SAFE
6.225485,inf,SAFE
6.325384,inf,SAFE
6.425388,inf,SAFE
6.525418,inf,SAFE
6.625373,inf,SAFE
6.726015,inf,SAFE
6.825356,inf,SAFE
6.925339,inf,SAFE
7.025606,inf,SAFE
7.125373,inf,SAFE
7.225363,inf,SAFE
7.325431,inf,SAFE
7.425330,inf,SAFE
7.525354,inf,SAFE
7.625382,inf,SAFE
7.725347,inf,SAFE
7.825356,inf,SAFE
7.925368,inf,SAFE
8.025359,inf,SAFE
8.125924,inf,SAFE
8.225359,inf,SAFE
8.325360,inf,SAFE
8.425143,inf,SAFE
8.525382,inf,SAFE
8.625344,inf,SAFE
8.725349,inf,SAFE
8.825363,inf,SAFE
8.925387,inf,SAFE
9.025391,inf,SAFE
9.125475,inf,SAFE
9.225375,inf,SAFE
9.325341,inf,SAFE
9.425354,inf,SAFE
9.525358,inf,SAFE
9.625366,inf,SAFE
9.726461,inf,SAFE
9.825373,inf,SAFE
9.925363,inf,SAFE
10.025347,inf,SAFE
10.125425,inf,SAFE
10.225351,inf,SAFE
10.325342,inf,SAFE
10.427069,inf,SAFE
10.525362,inf,SAFE
10.625187,3.5941,WARNING
10.725670,3.6706,WARNING
10.825320,3.7487,WARNING
10.925337,3.8281,WARNING
